Url,TopicKey,Visits,UniqueVisitors,BounceRate,MedianActivePvl,OrganicSearch,Views,CSAT,CSATCount
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-inten,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/homekey,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-tutorial-cs-import-utterances-csv,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-tutorial-c,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,50,1,0,2,0,2
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-tutorial-csharp-import-utterances-csv,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-interactive-testing,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,2,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-cs-tutorial-build-bot-framework-sample,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,0,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/add-feature,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,3,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/add-feature5,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,4,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-concept-data-extraction.md,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,3,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/concepts/data-sources-supported,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,2,0,2,0,2
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-getstarted-cs-add%20utterance,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,4,0,2,0,2
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/help,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,0,5,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-nodejs-tutorial-build-bot-framework-vaig,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,0,0,1,0,1
https://docs.microsoft.com/en-us/azure/cognitive-services/luis/luis-nodejs-tutorial-build-bot-framework-sample%d7%94%d7%a9%d7%9f%d7%a2,e528411d-cab0-b515-a072-8780a6f3a4f2,1,1,100,1,0,1,0,1
